Symbol,Security
^GSPC,S&P 500 Index
ABBV,AbbVie
ADP,ADP
APD,Air Products and Chemicals
ALGN,Align Technology
GOOG,Alphabet Inc. (Class C)
AEE,Ameren
AMT,American Tower
AMGN,Amgen
APA,APA Corporation
ANET,Arista Networks
ADSK,Autodesk
BKR,Baker Hughes
BDX,Becton Dickinson
TECH,Bio-Techne
BKNG,Booking Holdings
AVGO,Broadcom Inc.
CHRW,C.H. Robinson
COF,Capital One
CTLT,Catalent
CE,Celanese
CRL,Charles River Laboratories
CB,Chubb Limited
CSCO,Cisco
CMS,CMS Energy
CMA,Comerica
CEG,Constellation Energy
CSGP,CoStar Group
CMI,Cummins
DVA,DaVita Inc.
DXCM,Dexcom
DG,Dollar General
DOW,Dow Inc.
EMN,Eastman Chemical Company
EW,Edwards Lifesciences
ENPH,Enphase
EFX,Equifax
ETSY,Etsy
EXPE,Expedia Group
FDS,FactSet
FITB,Fifth Third Bank
FLT,Fleetcor
FOXA,Fox Corporation (Class A)
IT,Gartner
GE,General Electric
GL,Globe Life
HAS,Hasbro
HES,Hess Corporation
HON,Honeywell
HUM,Humana
IDXX,Idexx Laboratories
PODD,Insulet
IPG,Interpublic Group of Companies (The)
IQV,IQVIA
JNJ,Johnson & Johnson
KDP,Keurig Dr Pepper
KMI,Kinder Morgan
LH,LabCorp
LEN,Lennar
LMT,Lockheed Martin
MRO,Marathon Oil
MLM,Martin Marietta Materials
MCD,McDonald's
MET,MetLife
MSFT,Microsoft
TAP,Molson Coors Beverage Company
MS,Morgan Stanley
NTAP,NetApp
NWS,News Corp (Class B)
NSC,Norfolk Southern Railway
NUE,Nucor
OXY,Occidental Petroleum
ORCL,Oracle Corporation
PANW,Palo Alto Networks
PYPL,PayPal
PM,Philip Morris International
POOL,Pool Corporation
PGR,Progressive Corporation
PSA,Public Storage
DGX,Quest Diagnostics
REG,Regency Centers
RVTY,Revvity
ROST,Ross Stores
SLB,Schlumberger
SHW,Sherwin-Williams
SEDG,SolarEdge
STT,State Street Corporation
SNPS,Synopsys
TPR,Tapestry
TFX,Teleflex
TMO,Thermo Fisher Scientific
TRV,Travelers Companies (The)
USB,U.S. Bank
UPS,United Parcel Service
VTR,Ventas
VFC,VF Corporation
WAB,Wabtec
WAT,Waters Corporation
WDC,Western Digital
WTW,Willis Towers Watson
YUM,Yum! Brands
