Symbol,Security
^RUT,Russell 2000 Index
FIX,COMFORT SYSTEMS USA INC
WK,WORKIVA INC CLASS A
HOMB,HOME BANCSHARES INC
ZWS,ZURN ELKAY WATER SOLUTIONS CORP
DUOL,DUOLINGO INC CLASS A
MGY,MAGNOLIA OIL GAS CORP CLASS A
SPXC,SPX TECHNOLOGIES INC
SYNA,SYNAPTICS INC
SR,SPIRE INC
ENV,ENVESTNET INC
NARI,INARI MEDICAL INC
WERN,WERNER ENTERPRISES INC
TDW,TIDEWATER INC
INSM,INSMED INC
PIPR,PIPER SANDLER COMPANIES
IONQ,IONQ INC
RRR,RED ROCK RESORTS ORS CLASS A INC
STNG,SCORPIO TANKERS INC
AMR,ALPHA METALLURGICAL RESOURCE INC
SITM,SITIME CORP
CORT,CORCEPT THERAPEUTICS INC
SKYW,SKYWEST INC
RVNC,REVANCE THERAPEUTICS INC
CRVL,CORVEL CORP
EAT,BRINKER INTERNATIONAL INC
PRO,PROS HOLDINGS INC
RNST,RENASANT CORP
LTC,LTC PROPERTIES REIT INC
VRTS,VIRTUS INVESTMENT PARTNERS INC
VRE,VERIS RESIDENTIAL INC
CWK,CUSHMAN AND WAKEFIELD PLC
ATEC,ALPHATEC HOLDNGS INC
ZNTL,ZENTALIS PHARMACEUTICALS INC
ZIP,ZIPRECRUITER INC CLASS A
GNL,GLOBAL NET LEASE INC
ECVT,ECOVYST INC
PACW,PACWEST BANCORP
AAT,AMERICAN ASSETS TRUST REIT INC
ICHR,ICHOR HOLDINGS LTD
NBHC,NATIONAL BANK HOLDINGS CORP CLASS
TNK,TEEKAY TANKERS LTD CLASS A
NYMT,NEW YORK MORTGAGE TRUST REIT INC
THR,THERMON GROUP HOLDINGS INC
SHEN,SHENANDOAH TELECOMMUNICATIONS
GDOT,GREEN DOT CORP CLASS A
IMAX,IMAX CORP
DRS,LEONARDO DRS INC
SLP,SIMULATIONS PLUS INC
VRDN,VIRIDIAN THERAPEUTICS ORS INC
MYE,MYERS INDUSTRIES INC
SOVO,SOVOS BRANDS INC
UHT,UNIVERSAL HEALTH REALTY INCOME TRU
MLAB,MESA LABORATORIES INC
TWKS,THOUGHTWORKS HOLDING INC
EGLE,EAGLE BULK SHIPPING INC
HCKT,HACKETT GROUP INC
VERA,VERA THERAPEUTICS INC CLASS A
CNXN,PC CONNECTION INC
AVXL,ANAVEX LIFE SCIENCES CORP
AMOT,ALLIED MOTION TECHNOLOGIES INC
AGEN,AGENUS INC
MRNS,MARINUS PHARMACEUTICALS INC
CLSK,CLEANSPARK INC
NRIX,NURIX THERAPEUTICS INC
SHBI,SHORE BANCSHARES INC
BMEA,BIOMEA FUSION INC
LQDT,LIQUIDITY SERVICES INC
PSFE,PAYSAFE LTD
ASLE,AERSALE CORP
VNDA,VANDA PHARMACEUTICALS INC
AROW,ARROW FINANCIAL CORP
ANGO,ANGIODYNAMICS INC
VUZI,VUZIX CORP
HLLY,HOLLEY INC
OFLX,OMEGA FLEX INC
HBT,HBT FINANCIAL INC
MGNX,MACROGENICS INC
LUNA,LUNA INNOVATIONS INC
CIO,CITY OFFICE REIT INC
DSGN,DESIGN THERAPEUTICS INC
BKSY,BLACKSKY TECHNOLOGY INC CLASS A
JANX,JANUX THERAPEUTICS INC
FVCB,FVCBANKCORP INC
PRPL,PURPLE INNOVATION INC
CVRX,CVRX INC
PDLB,PONCE FINANCIAL GROUP INC
TLYS,TILLYS INC CLASS A
BCOV,BRIGHTCOVE INC
CARA,CARA THERAPEUTICS INC
EVEX,EVE HOLDING INC
IMMR,IMMERSION CORP
CRGE,CHARGE ENTERPRISES INC
RNGR,RANGER ENERGY SERVICES INC
VEL,VELOCITY FINANCIAL INC
EVI,EVI INDUSTRIES INC
RENT,RENT THE RUNWAY INC CLASS A
JILL,J JILL INC
MKTW,MARKETWISE INC CLASS A
PRST,PRESTO AUTOMATION INC
